,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,individual importance,total importance,individual std,total std
4,sett_fairness_grouping,,,,,,,,,,0.5810690954266897,0.5810690954266897,0.0037807743967251247,0.0037807743967251247
9,sett_stratify_split,,,,,,,,,,0.07656465363909906,0.07656465363909906,0.0021688385375415015,0.0021688385375415015
44,sett_fairness_grouping,sett_stratify_split,,,,,,,,,0.07623683066119497,0.7338705797269838,0.0019167985789072,0.003719058374340027
80,sett_cutoff,sett_fairness_grouping,sett_stratify_split,,,,,,,,0.06336444921594732,0.8927443293169524,0.002927865399684214,0.006710985055197613
18,sett_cutoff,sett_stratify_split,,,,,,,,,0.0622417507202398,0.15834149558500069,0.0028434073474965424,0.004138174006158605
0,sett_cutoff,,,,,,,,,,0.01953509122566182,0.01953509122566182,0.0009551328208350669,0.0009551328208350669
13,sett_cutoff,sett_fairness_grouping,,,,,,,,,0.013732458428119602,0.6143366450804713,0.0008065917295322677,0.003989048109061397
34,sett_exclude_subgroups,sett_fairness_grouping,,,,,,,,,0.0018949302562770438,0.5834322662307674,0.0002692583541746183,0.0037189133256389294
84,sett_cutoff,sett_model,sett_stratify_split,,,,,,,,0.0015932054019185634,0.1613772742953004,0.0004484829571310108,0.003949453019643632
242,sett_cutoff,sett_fairness_grouping,sett_model,sett_stratify_split,,,,,,,0.0015740343574494426,0.8987777426240378,0.00045462150379165623,0.006408495412470091
16,sett_cutoff,sett_preprocess_income,,,,,,,,,0.0013628090475787434,0.021716145992043683,0.00043158159717886116,0.001200818020599403
2,sett_exclude_features,,,,,,,,,,0.0013132717901946534,0.0013132717901946534,0.00022770786373089028,0.00022770786373089028
78,sett_cutoff,sett_fairness_grouping,sett_preprocess_income,,,,,,,,0.0012279455100200863,0.6182778351505497,0.00043252088483032445,0.0033811137732927907
253,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.001072201259792458,0.168309566360105,0.00026471608115561393,0.004350299235640362
119,sett_exclude_features,sett_exclude_subgroups,sett_fairness_grouping,,,,,,,,0.0010711932649502833,0.5866633516166352,0.00022449266956302706,0.003913069399095108
240,sett_cutoff,sett_fairness_grouping,sett_model,sett_preprocess_income,,,,,,,0.0010670535595677995,0.623613390635483,0.0004685461414011769,0.003943698849712549
500,sett_cutoff,sett_fairness_grouping,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0010662079455048372,0.9118356102467151,0.00026477400429423615,0.006673273082851767
82,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,,0.0010200119410046994,0.02456809523328249,0.0004341118494718476,0.0017467960174412241
217,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0009541237081190135,0.16633389661091702,0.00030510086946658184,0.004068854723908243
459,sett_cutoff,sett_exclude_features,sett_fairness_grouping,sett_model,sett_stratify_split,,,,,,0.0009516800136015258,0.908296444267775,0.0002833903814049679,0.006925781321504237
247,sett_cutoff,sett_fairness_grouping,sett_preprocess_income,sett_stratify_split,,,,,,,0.0008986854647102067,0.8992949965379624,0.0003633674401308405,0.006683456762619114
46,sett_model,sett_preprocess_income,,,,,,,,,0.0008975433887572143,0.0020079581229879486,0.0003341275159525594,0.000606137639431268
89,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0008966560579161423,0.1618390601803163,0.00036324388172386636,0.004322969159782525
69,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,,0.0008946357352628036,0.1611142721694946,0.00031166824605786633,0.00408977813789484
7,sett_preprocess_income,,,,,,,,,,0.0008182457188031172,0.0008182457188031172,0.000336574023755482,0.000336574023755482
246,sett_cutoff,sett_fairness_grouping,sett_preprocess_income,sett_scale,,,,,,,0.0007896252622509024,0.6221761152084273,0.00046416201300009753,0.0034292951376153724
213,sett_cutoff,sett_exclude_features,sett_fairness_grouping,sett_stratify_split,,,,,,,0.0007790391726589616,0.8976636793602191,0.0002957334024296043,0.006874447310955197
88,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,,0.0007641745938737252,0.023881610541162612,0.00043297525340114755,0.0020398714221539238
52,sett_preprocess_income,sett_scale,,,,,,,,,0.0007528934076196203,0.0020083373226541276,0.00035181792773546406,0.000831610929296405
710,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_fairness_grouping,sett_model,sett_stratify_split,,,,,0.0007520691648230913,0.9243840511891527,0.00025055124049118817,0.0066071595639221
75,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0007478672467568597,0.1606787563198539,0.0003294098788972993,0.004060270218981934
449,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0007465220238063487,0.17365121855317933,0.00025479709223083296,0.0036917765777512265
12,sett_cutoff,sett_exclude_subgroups,,,,,,,,,0.0007336121929263167,0.020736943966388647,0.0001267395158988089,0.0009986881045258584
228,sett_cutoff,sett_exclude_subgroups,sett_fairness_grouping,sett_stratify_split,,,,,,,0.0007299030955696449,0.8983251993406998,0.0003326358183794647,0.0065774758337779834
76,sett_cutoff,sett_fairness_grouping,sett_model,,,,,,,,0.0007152054177855039,0.6161785333380745,0.00017651625901491825,0.0040449027264849915
125,sett_exclude_features,sett_fairness_grouping,sett_model,,,,,,,,0.0006965688605088331,0.5846832356666665,0.0002743053379171191,0.003982266595887307
252,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0006556986447770754,0.028451298219643536,0.0003862961712513112,0.003294190017657554
499,sett_cutoff,sett_fairness_grouping,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0006532533714380896,0.6305814907105121,0.0004095853224371416,0.005561439506298208
14,sett_cutoff,sett_model,,,,,,,,,0.0006422248960492763,0.020469485137138713,0.00018889761534512475,0.0010246354489848119
479,sett_cutoff,sett_exclude_subgroups,sett_fairness_grouping,sett_model,sett_stratify_split,,,,,,0.0006364590975636097,0.9075331439916454,0.00017378175455466264,0.006440210162801273
232,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0006350639851340663,0.16536780871627144,0.00017502742825663953,0.003858254954639598
28,sett_exclude_features,sett_fairness_grouping,,,,,,,,,0.0006280786652908177,0.5830104458821753,0.0001511091248154358,0.003817501934865466
731,sett_cutoff,sett_exclude_features,sett_fairness_grouping,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0005898778207809178,0.9257544741086282,0.00013186101778346976,0.006462683999205566
470,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0005832238994445808,0.17541752518663262,0.00013706002974778425,0.004076977774188631
168,sett_model,sett_preprocess_income,sett_scale,,,,,,,,0.0005475994719528151,0.004062475377206573,0.0003204124404293364,0.0013610598683814657
42,sett_fairness_grouping,sett_preprocess_income,,,,,,,,,0.0005321897936765574,0.5824195309391694,0.0002790626810119564,0.0034599659428942524
445,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_fairness_grouping,sett_stratify_split,,,,,,0.0005167004912473691,0.9070275828223224,0.00017657620263282164,0.006703786935624735
158,sett_fairness_grouping,sett_model,sett_stratify_split,,,,,,,,0.0005161058932098889,0.7353793229608665,0.00014551463217853398,0.0038007310168419006
156,sett_fairness_grouping,sett_model,sett_preprocess_income,,,,,,,,0.000509058338000382,0.5843105906096955,0.00023273924978403494,0.0035706167519417567
